标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
东方巴黎广场大阳台拎包入住随时看房单身公寓1700,1700,整租,普通住宅,1室1厅1卫,40平米,朝南北,中等装修,第3层/共8层,东方巴黎广场二期,SM附近,经纪人：
江头吕厝精装高层大3房看中庭2阳台仅4400,4400,整租,普通住宅,3室2厅2卫,122平米,朝南北,中等装修,第27层/共32层,冠宏花园,江头北路,经纪人：
台湾街江头公园旁江头小学居家清爽2房2100,2100,整租,普通住宅,2室1厅1卫,50平米,朝南北,中等装修,第8层/共23层,台湾街建邦大厦,台湾街,经纪人：
sm旁温馨2房独门独户独立厨卫新家具家电干净宽敞舒适,3000,整租,普通住宅,2室2厅1卫,80平米,朝南北,精装修,第7层/共30层,潇湘大厦,SM附近,经纪人：
精装修三房拎包入住高档富人社区海景房族7800邮轮城东渡,7800,整租,普通住宅,3室2厅2卫,136平米,朝南北,精装修,第9层/共30层,国际邮轮城一期,东渡,经纪人：
南北通透全新家具全新装修,1388,整租,公寓,1室1厅1卫,28平米,第14层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友公寓无中介 湖里高新区精品房源 设施配备齐全 交通便利,1900,整租,公寓,1室1厅1卫,25平米,第9层/共9层,,,国际石材中心,高新技术园,品牌公寓：
湖里台湾街 公寓直租 多套任选,1500,整租,公寓,1室0厅1卫,20平米,第13层/共15层,,,华永天地,台湾街,品牌公寓：
塘边佳馨美墅可出租做会所办公停车方便豪华装修,20000,整租,普通住宅,4室3厅3卫,172平米,朝南北,中等装修,第1层/共4层,佳馨美墅,SM附近,经纪人：
正规3房豪华装修随时看房江头东方巴黎广场三期,5780,整租,普通住宅,3室2厅2卫,155平米,朝南北,豪华装修,第12层/共34层,东方巴黎广场三期,江头北路,经纪人：
蔡塘世茂湖滨高装全套湖里万达广场软件园二期,3200,整租,普通住宅,1室1厅1卫,65平米,朝南北,精装修,第25层/共28层,世茂湖滨首府,湖边水库片,经纪人：
湖里吕厝江头新景园居家温馨一室一厅适合居家者冠宏花园旁,1700,整租,普通住宅,1室1厅1卫,50平米,朝南北,精装修,第8层/共15层,新景园二期,江头北路,经纪人：
江头台湾街新景天湖广场新装三室两厅楼中楼小区环境好看湖,3800,整租,普通住宅,3室1厅2卫,120平米,朝南北,豪华装修,第13层/共15层,新景天湖广场,江头北路,经纪人：
sm江头中闵嘉禾路冠宏花园3房2厅只要3600！！,3600,整租,普通住宅,3室2厅1卫,100平米,朝南北,中等装修,第11层/共27层,冠宏花园,江头北路,经纪人：
江头明发豪庭出行方便地铁公交站商业街公园尽在周边,1400,整租,普通住宅,1室1厅1卫,30平米,朝南北,中等装修,第13层/共16层,明发豪庭,江头北路,经纪人：
业主诚心出租新装三房现在仅租3100好谈,3100,整租,普通住宅,3室2厅1卫,86平米,朝南北,中等装修,第1层/共7层,福龙公寓,金尚路,经纪人：
青友公寓无中介 湖里高新区精品房源 设施配备齐全 交通便利,1800,整租,公寓,1室1厅1卫,25平米,第9层/共9层,,,国际石材中心,高新技术园,品牌公寓：
房东急租免中介费 高档海景小区湖里五缘湾源昌鑫海湾,2000,整租,公寓,1室1厅1卫,35平米,第8层/共13层,,,源昌鑫海湾,五缘湾,品牌公寓：
急租稀缺1室好房超受欢迎,1800,整租,普通住宅,1室0厅1卫,35平米,朝南,中等装修,第9层/共30层,世茂湖滨首府,湖边水库片,经纪人：
急租世茂湖滨首府精品交通生活两便利,2000,整租,普通住宅,1室0厅1卫,35平米,朝南,中等装修,第9层/共30层,世茂湖滨首府,湖边水库片,经纪人：
万达SOHO公寓正规中等装修家电齐全单身公寓,2200,整租,普通住宅,1室0厅1卫,44平米,朝北,中等装修,第31层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达SOHO公寓1室精装修押一付一单身公寓,2700,整租,普通住宅,1室1厅1卫,44平米,朝南北,中等装修,第2层/共31层,万达SOHO公寓,湖边水库片,经纪人：
车位出租中央天成快乐天地旁出租600起租,600,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第1层/共2层,建发中央天成,祥店,经纪人：
建发中央天成159平豪装大四房带车位出租9000元,9000,整租,普通住宅,4室2厅2卫,159平米,朝南北,中等装修,第21层/共29层,建发中央天成,祥店,经纪人：
中央天成精装单身公寓新房出租仅1800起,2000,整租,普通住宅,1室1厅1卫,35平米,朝南,中等装修,第20层/共25层,建发中央天成,祥店,经纪人：
江头明发豪庭出行方便地铁公交站商业街公园尽在周边,1400,整租,普通住宅,1室1厅1卫,30平米,朝南北,中等装修,第13层/共16层,明发豪庭,江头北路,经纪人：
业主诚心出租新装三房现在仅租3100好谈,3100,整租,普通住宅,3室2厅1卫,86平米,朝南北,中等装修,第1层/共7层,福龙公寓,金尚路,经纪人：
急租稀缺1室好房超受欢迎,1800,整租,普通住宅,1室0厅1卫,35平米,朝南,中等装修,第9层/共30层,世茂湖滨首府,湖边水库片,经纪人：
急租世茂湖滨首府精品交通生活两便利,2000,整租,普通住宅,1室0厅1卫,35平米,朝南,中等装修,第9层/共30层,世茂湖滨首府,湖边水库片,经纪人：
万达SOHO公寓正规中等装修家电齐全单身公寓,2200,整租,普通住宅,1室0厅1卫,44平米,朝北,中等装修,第31层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达SOHO公寓1室精装修押一付一单身公寓,2700,整租,普通住宅,1室1厅1卫,44平米,朝南北,中等装修,第2层/共31层,万达SOHO公寓,湖边水库片,经纪人：
车位出租中央天成快乐天地旁出租600起租,600,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第1层/共2层,建发中央天成,祥店,经纪人：
建发中央天成159平豪装大四房带车位出租9000元,9000,整租,普通住宅,4室2厅2卫,159平米,朝南北,中等装修,第21层/共29层,建发中央天成,祥店,经纪人：
中央天成精装单身公寓新房出租仅1800起,2000,整租,普通住宅,1室1厅1卫,35平米,朝南,中等装修,第20层/共25层,建发中央天成,祥店,经纪人：
湖里 枋湖 标准单身公寓仅租1500元,1500,整租,普通住宅,1室1厅1卫,30平米,朝东,精装修,第4层/共7层,金枋世家,金尚路,经纪人：
全新装修，拎包入住，湖畔美景单身公寓，有停车位！,2200,整租,公寓,1室0厅1卫,40平米,朝南北,精装修,第5层/共7层,久邦公寓,马垄,个人                                                ：
